証券コード	EDINETコード	会社名	業種	取引所	書類種類	決算日	提出日	訂正報告書	監査法人	会計方式
	E34975	ブランディングテクノロジー㈱	非公開	非上場	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
7059.0	E34699	㈱コプロ・ホールディングス	サービス業	東証マザーズ、名証セントレックス	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
4437.0	E34587	ｇｏｏｄｄａｙｓホールディングス㈱	情報・通信業	東証マザーズ	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
7670.0	E34470	オーウエル㈱	卸売業	東証二部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
	E34406	住友三井オートサービス㈱	非公開	非上場	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
7327.0	E34113	㈱第四北越フィナンシャルグループ	銀行業	東証一部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
1448.0	E34109	㈱スペースバリューホールディングス	建設業	東証一部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
7040.0	E34097	㈱サン・ライフホールディング	サービス業	ＪＱＳ	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
7322.0	E33693	㈱三十三フィナンシャルグループ	銀行業	東証一部、名証一部	有価証券報告書	20190331	20190624	--	有限責任あずさ監査法人	日本基準
4249.0	E33603	森六ホールディングス㈱	化学	東証一部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
	E33469	三井住友トラスト・パナソニックファイナンス㈱	非公開	非上場	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
6549.0	E33247	ディーエムソリューションズ㈱	サービス業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
9519.0	E32967	㈱レノバ	電気・ガス業	東証一部	有価証券報告書	20190331	20190621	--	ＰｗＣあらた有限責任監査法人	日本基準
3932.0	E32200	㈱アカツキ	情報・通信業	東証一部	有価証券報告書	20190331	20190619	--	有限責任あずさ監査法人	日本基準
9466.0	E32198	㈱アイドママーケティングコミュニケーション	情報・通信業	東証一部	有価証券報告書	20190331	20190628	--	ＰｗＣあらた有限責任監査法人	日本基準
6237.0	E32189	㈱イワキ	機械	東証一部	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
6190.0	E32153	㈱フェニックスバイオ	サービス業	東証マザーズ	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
2296.0	E32069	伊藤ハム米久ホールディングス㈱	食料品	東証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
6236.0	E32026	ＮＣホールディングス㈱	機械	東証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
6185.0	E31958	ソネット・メディア・ネットワークス㈱	サービス業	東証一部	有価証券報告書	20190331	20190618	--	ＰｗＣあらた有限責任監査法人	日本基準
3923.0	E31878	㈱ラクス	情報・通信業	東証マザーズ	有価証券報告書	20190331	20190624	訂正(2019/06/27)	有限責任あずさ監査法人	日本基準
7182.0	E31775	㈱ゆうちょ銀行	銀行業	東証一部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
7181.0	E31755	㈱かんぽ生命保険	保険業	東証一部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
6178.0	E31748	日本郵政㈱	サービス業	東証一部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
4980.0	E31633	デクセリアルズ㈱	化学	東証一部	有価証券報告書	20190331	20190621	--	ＰｗＣあらた有限責任監査法人	日本基準
5021.0	E31632	コスモエネルギーホールディングス㈱	石油・石炭製品	東証一部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
6032.0	E31103	㈱インターワークス	サービス業	東証一部	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
6033.0	E31079	㈱エクストリーム	サービス業	東証マザーズ	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
9517.0	E31065	イーレックス㈱	電気・ガス業	東証一部	有価証券報告書	20190331	20190625	--	ＰｗＣあらた有限責任監査法人	日本基準
6035.0	E31054	㈱アイ・アールジャパンホールディングス	サービス業	東証一部	有価証券報告書	20190331	20190626	--	ＰｗＣあらた有限責任監査法人	日本基準
3692.0	E30877	㈱ＦＦＲＩ	情報・通信業	東証マザーズ	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
4247.0	E30692	ポバール興業㈱	化学	名証二部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
6740.0	E30481	㈱ジャパンディスプレイ	電気機器	東証一部	有価証券報告書	20190331	20190619	--	有限責任あずさ監査法人	日本基準
6616.0	E30479	トレックス・セミコンダクター㈱	電気機器	東証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
4246.0	E30438	ダイキョーニシカワ㈱	化学	東証一部	有価証券報告書	20190331	20190621	--	有限責任あずさ監査法人	日本基準
3682.0	E30085	エンカレッジ・テクノロジ㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190621	--	有限責任あずさ監査法人	日本基準
3183.0	E27210	ウイン・パートナーズ㈱	卸売業	東証一部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
6165.0	E27063	パンチ工業㈱	機械	東証一部	有価証券報告書	20190331	20190625	--	ＰｗＣあらた有限責任監査法人	日本基準
6069.0	E26933	トレンダーズ㈱	サービス業	東証マザーズ	有価証券報告書	20190331	20190624	--	ＰｗＣあらた有限責任監査法人	日本基準
3175.0	E26842	㈱エー・ピーカンパニー	小売業	東証一部	有価証券報告書	20190331	20190627	訂正(2019/06/28)	有限責任あずさ監査法人	日本基準
3173.0	E26290	㈱Ｃｏｍｉｎｉｘ	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
6618.0	E26216	㈱大泉製作所	電気機器	東証マザーズ	有価証券報告書	20190331	20190627	--	ＰｗＣあらた有限責任監査法人	日本基準
6055.0	E26124	ジャパンマテリアル㈱	サービス業	東証一部、名証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
4581.0	E25678	大正製薬ホールディングス㈱	医薬品	東証一部	有価証券報告書	20190331	20190627	--	ＰｗＣあらた有限責任監査法人	日本基準
7022.0	E25662	サノヤスホールディングス㈱	輸送用機器	東証一部	有価証券報告書	20190331	20190621	訂正(2019/07/05)	有限責任あずさ監査法人	日本基準
2229.0	E25303	カルビー㈱	食料品	東証一部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
1909.0	E25282	日本ドライケミカル㈱	機械	東証一部	有価証券報告書	20190331	20190625	--	ＰｗＣあらた有限責任監査法人	日本基準
1417.0	E24558	㈱ミライト・ホールディングス	建設業	東証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
3640.0	E24457	㈱電算	情報・通信業	東証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
6629.0	E23871	テクノホライゾン・ホールディングス㈱	電気機器	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
3157.0	E23288	ジューテックホールディングス㈱	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
3156.0	E23245	㈱レスターホールディングス	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
4574.0	E22560	大幸薬品㈱	医薬品	東証一部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
3150.0	E22547	㈱グリムス	卸売業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
3635.0	E22460	㈱コーエーテクモホールディングス	情報・通信業	東証一部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
	E21951	㈱商工組合中央金庫	非公開	非上場	有価証券報告書	20190331	20190624	--	ＰｗＣあらた有限責任監査法人	日本基準
3143.0	E21832	オーウイル㈱	卸売業	東証二部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
8750.0	E06141	第一生命ホールディングス㈱	保険業	東証一部	有価証券報告書	20190331	20190624	--	有限責任あずさ監査法人	日本基準
3092.0	E05725	㈱ＺＯＺＯ	小売業	東証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
8729.0	E05714	ソニーフィナンシャルホールディングス㈱	保険業	東証一部	有価証券報告書	20190331	20190625	--	ＰｗＣあらた有限責任監査法人	日本基準
3850.0	E05694	㈱エヌ・ティ・ティ・データ・イントラマート	情報・通信業	東証二部	有価証券報告書	20190331	20190619	--	有限責任あずさ監査法人	日本基準
3848.0	E05688	㈱データ・アプリケーション	情報・通信業	ＪＱＳ	有価証券報告書	20190331	20190624	--	有限責任あずさ監査法人	日本基準
3847.0	E05687	パシフィックシステム㈱	情報・通信業	ＪＱＳ	有価証券報告書	20190331	20190624	--	有限責任あずさ監査法人	日本基準
2151.0	E05685	㈱タケエイ	サービス業	東証一部	有価証券報告書	20190331	20190621	--	有限責任あずさ監査法人	日本基準
2162.0	E05676	ｎｍｓホールディングス㈱	サービス業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
2489.0	E05599	㈱アドウェイズ	サービス業	東証マザーズ	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
3390.0	E05523	ＩＮＥＳＴ㈱	卸売業	ＪＱＳ	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
2352.0	E05513	㈱エイジア	情報・通信業	東証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
9428.0	E05504	㈱クロップス	情報・通信業	東証一部、名証一部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
3766.0	E05469	システムズ・デザイン㈱	情報・通信業	ＪＱＳ	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
3762.0	E05463	テクマトリックス㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190624	--	有限責任あずさ監査法人	日本基準
8793.0	E05462	ＮＥＣキャピタルソリューション㈱	その他金融業	東証一部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
2440.0	E05456	㈱ぐるなび	サービス業	東証一部	有価証券報告書	20190331	20190620	訂正(2019/07/05)	有限責任あずさ監査法人	日本基準
2433.0	E05410	㈱博報堂ＤＹホールディングス	サービス業	東証一部	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
2398.0	E05393	㈱ツクイ	サービス業	東証一部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
2395.0	E05385	㈱新日本科学	サービス業	東証一部	有価証券報告書	20190331	20190701	--	有限責任あずさ監査法人	日本基準
	E05355	ＮＴＴファイナンス㈱	非公開	非上場	有価証券報告書	20190331	20190613	--	有限責任あずさ監査法人	日本基準
2374.0	E05354	セントケア・ホールディング㈱	サービス業	東証一部	有価証券報告書	20190331	20190626	--	有限責任あずさ監査法人	日本基準
2327.0	E05304	日鉄ソリューションズ㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190624	--	有限責任あずさ監査法人	日本基準
2317.0	E05283	㈱システナ	情報・通信業	東証一部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
4348.0	E05272	インフォコム㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190614	--	有限責任あずさ監査法人	日本基準
4837.0	E05265	シダックス㈱	サービス業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
4342.0	E05263	セコム上信越㈱	サービス業	東証二部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
4331.0	E05248	㈱テイクアンドギヴ・ニーズ	サービス業	東証一部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
4326.0	E05239	㈱インテージホールディングス	情報・通信業	東証一部	有価証券報告書	20190331	20190626	--	ＰｗＣあらた有限責任監査法人	日本基準
4308.0	E05211	㈱Ｊストリーム	情報・通信業	東証マザーズ	有価証券報告書	20190331	20190628	--	ＰｗＣあらた有限責任監査法人	日本基準
4298.0	E05210	㈱プロトコーポレーション	情報・通信業	東証一部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
4761.0	E05090	㈱さくらケーシーエス	情報・通信業	東証二部	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
4732.0	E05045	㈱ユー・エス・エス	サービス業	東証一部、名証一部	有価証券報告書	20190331	20190619	--	有限責任あずさ監査法人	日本基準
	E05031	トヨタファイナンス㈱	非公開	非上場	有価証券報告書	20190331	20190628	訂正(2019/07/19)	ＰｗＣあらた有限責任監査法人	日本基準
4695.0	E05004	㈱マイスターエンジニアリング	サービス業	東証二部	有価証券報告書	20190331	20190620	--	有限責任あずさ監査法人	日本基準
4658.0	E04973	日本空調サービス㈱	サービス業	東証一部、名証一部	有価証券報告書	20190331	20190624	--	有限責任あずさ監査法人	日本基準
8566.0	E04946	リコーリース㈱	その他金融業	東証一部	有価証券報告書	20190331	20190621	訂正(2019/06/26)	有限責任あずさ監査法人	日本基準
9600.0	E04919	㈱アイネット	情報・通信業	東証一部	有価証券報告書	20190331	20190625	--	ＰｗＣあらた有限責任監査法人	日本基準
9610.0	E04916	ウィルソン・ラーニング　ワールドワイド㈱	サービス業	ＪＱＳ	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
9629.0	E04894	ピー・シー・エー㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190624	--	有限責任あずさ監査法人	日本基準
6197.0	E04878	㈱ソラスト	サービス業	東証一部	有価証券報告書	20190331	20190628	--	有限責任あずさ監査法人	日本基準
9687.0	E04856	㈱ＫＳＫ	情報・通信業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任あずさ監査法人	日本基準
9715.0	E04837	トランス・コスモス㈱	サービス業	東証一部	有価証券報告書	20190331	20190625	--	ＰｗＣあらた有限責任監査法人	日本基準
9719.0	E04830	ＳＣＳＫ㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190625	--	有限責任あずさ監査法人	日本基準
